"Ag.M3",47,571,602,"Minor"
"Ag.M5",47,367,373,"Major"
"Al.K1",13,1560,,"Major"
"Al.L1",13,118,,"Minor"
"Al.L3",13,73,,"Major"
"Ar.L1",18,320,,"Minor"
"Ar.L3",18,245,,"Major"
"As.L1",33,1526,,"Minor"
"As.L3",33,1323,1359,"Major"
"Au.M5",79,2206,2291,"Major"
"Ba.M3",56,1062,1137,"Minor"
"Ba.M5",56,781,796,"Major"
"Ba.N5",56,90,90,"Major"
"Be.K1",4,111,,"Major"
"Bi.M5",83,2580,2688,"Major"
"B.K1",5,188,,"Major"
"Br.L1",35,1782,,"Minor"
"Br.L3",35,1550,1596,"Major"
"Ca.L1",20,438,,"Major"
"Ca.L3",20,346,350,"Minor"
"Cd.M3",48,616,651,"Minor"
"Cd.M5",48,404,411,"Major"
"Ce.M3",58,1185,1273,"Minor"
"Ce.M5",58,883,901,"Major"
"Ce.N5",58,110,110,"Major"
"C.K1",6,284,,"Major"
"C.K1a",6,284,,"Major"
"Cl.L1",17,270,,"Minor"
"Cl.L3",17,200,,"Major"
"Co.L1",27,926,,"Minor"
"Co.L3",27,779,794,"Major"
"Co.M3",27,62,62,"Major"
"Cr.L1",24,695,,"Minor"
"Cr.L3",24,575,584,"Major"
"Cr.M3",24,48,48,"Major"
"Cs.M3",55,998,1065,"Minor"
"Cs.M5",55,726,740,"Major"
"Cs.N5",55,78,78,"Major"
"Cu.L1",29,1096,,"Minor"
"Cu.L3",29,931,951,"Major"
"Cu.M3",29,74,74,"Major"
"Dy.M3",66,1676,1842,"Minor"
"Dy.M5",66,1295,1332,"Major"
"Dy.N5",66,154,154,"Major"
"Er.M3",68,1812,2006,"Minor"
"Er.M5",68,1409,1453,"Major"
"Er.N5",68,168,168,"Major"
"Eu.M3",63,1481,1614,"Minor"
"Eu.M5",63,1131,1161,"Major"
"Eu.N5",63,134,134,"Major"
"Fe.K1",26,7113,,"Minor"
"Fe.L1",26,846,,"Minor"
"Fe.L3",26,708,721,"Major"
"Fe.M3",26,57,57,"Major"
"F.K1",9,685,,"Major"
"Ga.L1",31,1298,,"Minor"
"Ga.L3",31,1115,1142,"Major"
"Gd.M3",64,1544,1688,"Minor"
"Gd.M5",64,1185,1217,"Major"
"Gd.N5",64,141,141,"Major"
"Ge.L1",32,1414,,"Minor"
"Ge.L3",32,1217,1248,"Major"
"Hf.M5",72,1662,1716,"Major"
"Hg.M5",80,2295,2385,"Major"
"Ho.M3",67,1741,1923,"Minor"
"Ho.M5",67,1351,1391,"Major"
"Ho.N5",67,161,161,"Major"
"I.M3",53,875,930,"Minor"
"I.M5",53,620,631,"Major"
"In.M3",49,664,702,"Minor"
"In.M5",49,443,451,"Major"
"Ir.M5",77,2040,2116,"Major"
"K.L1",19,377,,"Minor"
"K.L1a",19,377,,"Minor"
"K.L3",19,294,296,"Major"
"Kr.L1",36,1921,,"Minor"
"Kr.L3",36,1675,1727,"Major"
"Kr.M5",36,89,89,"Major"
"La.M3",57,1123,1204,"Minor"
"La.M5",57,832,849,"Major"
"La.N5",57,99,99,"Major"
"Li.K1",3,55,,"Major"
"Lu.M3",71,2024,2263,"Minor"
"Lu.M5",71,1588,1639,"Major"
"Lu.N5",71,195,195,"Major"
"Mg.K1",12,1305,,"Major"
"Mg.L1",12,89,,"Minor"
"Mg.L3",12,51,51,"Major"
"Mn.L1",25,769,,"Minor"
"Mn.L3",25,640,651,"Major"
"Mn.M3",25,51,51,"Major"
"Mo.L1",42,2866,,
"Mo.L3",42,2520,2625,"Major"
"Mo.M3",42,392,410,"Minor"
"Mo.M5",42,227,228,"Major"
"Na.K1",11,1072,,"Major"
"Na.L1",11,63,,"Minor"
"Na.L3",11,31,,"Major"
"Nb.L1",41,2698,,"Minor"
"Nb.L3",41,2371,2465,"Major"
"Nb.M3",41,363,378,"Major"
"Nb.M5",41,202.3,205,"Major"
"Nd.M3",60,1297,1403,"Minor"
"Nd.M5",60,978,1000,"Major"
"Nd.N5",60,118,118,"Major"
"Ne.K1",10,867,,"Major"
"Ni.L1",28,1008,,"Minor"
"Ni.L3",28,855,872,"Major"
"Ni.M3",28,68,68,"Major"
"N.K1",7,401,,"Major"
"O.K1",8,532,,"Major"
"Os.M5",76,1960,2031,"Major"
"Pb.M5",82,2484,2586,"Major"
"Pd.M3",46,531,559,"Minor"
"Pd.M5",46,335,340,"Major"
"P.K1",15,2146,,"Major"
"P.L1",15,189,,"Minor"
"P.L3",15,132,,"Major"
"Pr.M3",59,1242,1337,"Minor"
"Pr.M5",59,931,951,"Major"
"Pr.N5",59,114,114,"Major"
"Pt.M5",78,2122,2202,"Major"
"Rb.L1",37,2065,,"Minor"
"Rb.L3",37,1804,1864,"Major"
"Rb.M3",37,238,247,"Major"
